text,url
All products,https://books.toscrape.com/index.html
Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Olio,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Cultural,https://books.toscrape.com/catalogue/category/books/cultural_49/index.html
Crime,https://books.toscrape.com/catalogue/category/books/crime_51/index.html
Erotica,https://books.toscrape.com/catalogue/category/books/erotica_50/index.html
Politics,https://books.toscrape.com/catalogue/category/books/politics_48/index.html
Health,https://books.toscrape.com/catalogue/category/books/health_47/index.html
Suspense,https://books.toscrape.com/catalogue/category/books/suspense_44/index.html
Novels,https://books.toscrape.com/catalogue/category/books/novels_46/index.html
Short Stories,https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html
Self Help,https://books.toscrape.com/catalogue/category/books/self-help_41/index.html
Academic,https://books.toscrape.com/catalogue/category/books/academic_40/index.html
Christian,https://books.toscrape.com/catalogue/category/books/christian_43/index.html
Historical,https://books.toscrape.com/catalogue/category/books/historical_42/index.html
All products,https://books.toscrape.com/catalogue/page-2.html
Biography,https://books.toscrape.com/catalogue/category/books/biography_36/index.html
Spirituality,https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
Contemporary,https://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
Business,https://books.toscrape.com/catalogue/category/books/business_35/index.html
The Long Shadow of Small Ghosts: Murder and Memory in an American City,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html
Silence in the Dark (Logan Point #4),https://books.toscrape.com/catalogue/silence-in-the-dark-logan-point-4_542/index.html
Christian Fiction,https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Amid the Chaos,https://books.toscrape.com/catalogue/amid-the-chaos_788/index.html
Suzie Snowflake: One beautiful flake (a self-esteem story),https://books.toscrape.com/catalogue/suzie-snowflake-one-beautiful-flake-a-self-esteem-story_568/index.html
Thriller,https://books.toscrape.com/catalogue/category/books/thriller_37/index.html
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,https://books.toscrape.com/catalogue/10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581/index.html
"Eat Fat, Get Thin",https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html
The Art and Science of Low Carbohydrate Living,https://books.toscrape.com/catalogue/the-art-and-science-of-low-carbohydrate-living_570/index.html
How to Stop Worrying and Start Living,https://books.toscrape.com/catalogue/how-to-stop-worrying-and-start-living_431/index.html
A New Earth: Awakening to Your Life's Purpose,https://books.toscrape.com/catalogue/a-new-earth-awakening-to-your-lifes-purpose_311/index.html
You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
Food and Drink,https://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Equal Is Unfair: America's Misguided Fight Against Income Inequality,https://books.toscrape.com/catalogue/equal-is-unfair-americas-misguided-fight-against-income-inequality_617/index.html
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,https://books.toscrape.com/catalogue/you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life_508/index.html
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,https://books.toscrape.com/catalogue/unreasonable-hope-finding-faith-in-the-god-who-brings-purpose-to-your-pain_505/index.html
We Are All Completely Beside Ourselves,https://books.toscrape.com/catalogue/we-are-all-completely-beside-ourselves_301/index.html
Someone Like You (The Harrisons #2),https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),https://books.toscrape.com/catalogue/the-rise-of-theodore-roosevelt-theodore-roosevelt-1_276/index.html
